City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Jhalu,IN,29.35,78.25,77.0,83,13,8.68,few clouds
272,Oriximina,BR,-1.7656,-55.8661,96.44,37,89,4.85,overcast clouds
273,Chengde,CN,40.9725,117.9361,41.05,25,70,1.81,broken clouds
274,Ampanihy,MG,-24.7,44.75,80.1,40,0,13.11,clear sky
275,Hambantota,LK,6.1241,81.1185,82.74,74,40,9.22,scattered clouds
276,Mahebourg,MU,-20.4081,57.7,73.69,68,40,9.22,scattered clouds
277,Kandrian,PG,-6.2167,149.55,77.83,88,100,6.17,overcast clouds
278,Wapakoneta,US,40.5678,-84.1936,66.27,62,9,4.09,clear sky
279,Maneadero,MX,31.7167,-116.5667,65.1,90,35,1.92,scattered clouds
280,Ambilobe,MG,-13.2,49.05,76.14,67,5,2.93,clear sky
281,Te Anau,NZ,-45.4167,167.7167,29.59,91,75,2.8,light snow
282,Cangzhou,CN,38.3167,116.8667,50.07,46,99,4.38,overcast clouds
283,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,70,0,2.3,clear sky
284,Teahupoo,PF,-17.8333,-149.2667,67.96,72,58,22.62,broken clouds
285,Dzhankoy,UA,45.7167,34.4,60.21,55,31,7.02,scattered clouds
286,Antofagasta,CL,-23.65,-70.4,61.88,60,15,10.36,few clouds
287,Coihaique,CL,-45.5752,-72.0662,50.61,57,100,4.61,light rain
288,Yeppoon,AU,-23.1333,150.7333,69.58,76,100,13.22,overcast clouds
289,Naantali,FI,60.4674,22.0243,56.1,94,100,6.91,overcast clouds
290,Boa Vista,BR,2.8197,-60.6733,87.78,58,40,5.75,scattered clouds
291,Catamarca,AR,-28.4696,-65.7852,75.06,37,1,11.99,clear sky
292,Itaituba,BR,-4.2761,-55.9836,87.96,66,40,2.3,scattered clouds
293,Dunedin,NZ,-45.8742,170.5036,35.28,78,100,19.51,light snow
294,Ayagoz,KZ,47.9714,80.4392,38.44,34,1,11.41,clear sky
295,Samarai,PG,-10.6167,150.6667,80.85,82,100,10.69,overcast clouds
296,Anuradhapura,LK,8.3565,80.4173,78.3,81,100,11.43,moderate rain
297,Grand-Santi,GF,4.25,-54.3833,92.7,40,12,4.9,few clouds
298,Sept-Iles,CA,50.2001,-66.3821,54.12,88,75,5.75,broken clouds
299,Calama,CL,-22.4667,-68.9333,63.09,4,0,3.44,clear sky
300,Vanderhoof,CA,54.0166,-124.0198,46.94,92,75,1.83,broken clouds
301,Lodja,CD,-3.4833,23.4333,85.87,53,91,5.21,overcast clouds
302,Krasnoselkup,RU,65.7,82.4667,32.77,89,91,10.07,overcast clouds
303,Rantepao,ID,-2.9701,119.8978,67.3,97,99,1.97,heavy intensity rain
304,Goderich,CA,43.7501,-81.7165,64.9,82,72,3.44,broken clouds
305,Ust-Kuyga,RU,70.0167,135.6,19.92,96,100,4.27,light snow
306,Lompoc,US,34.6391,-120.4579,54.01,76,0,1.61,clear sky
307,Dudinka,RU,69.4058,86.1778,31.62,94,99,8.12,overcast clouds
308,Linxia,CN,35.6003,103.2064,46.42,80,100,2.95,overcast clouds
309,Malanje,AO,-9.5402,16.341,76.6,58,85,6.91,light rain
310,Baiyin,CN,36.5583,104.2081,48.79,60,100,4.43,overcast clouds
311,Izhevskoye,RU,54.5567,40.8703,46.54,86,100,8.05,overcast clouds
312,Mount Isa,AU,-20.7333,139.5,71.37,94,36,3.44,scattered clouds
313,Hualmay,PE,-11.0964,-77.6139,64.31,69,20,11.39,few clouds
314,Waingapu,ID,-9.6567,120.2641,80.92,80,100,6.6,moderate rain
315,Saint-Joseph,RE,-21.3667,55.6167,71.98,75,12,9.8,few clouds
316,Sherbakul,RU,54.6316,72.3963,49.89,48,79,8.23,broken clouds
317,Ancud,CL,-41.8697,-73.8203,50.16,86,100,18.23,light rain
318,Sarkand,KZ,45.41,79.9186,49.35,45,9,3.65,clear sky
319,Masuguru,TZ,-11.3667,38.4167,93.92,24,37,4.27,scattered clouds
320,Guerrero Negro,MX,27.9769,-114.0611,69.96,78,57,6.73,broken clouds
321,Sitka,US,57.0531,-135.33,55.44,89,100,8.28,overcast clouds
322,Camana,PE,-16.6228,-72.7111,62.49,72,66,12.33,broken clouds
323,Kharp,RU,66.8014,65.8081,36.07,89,69,4.41,broken clouds
324,Shimoni,KE,-4.6476,39.3817,77.92,78,58,13.82,broken clouds
325,Panambi,BR,-28.2925,-53.5017,77.52,52,2,8.79,clear sky
326,Pionerskiy,RU,54.9508,20.2275,58.84,72,100,13.51,overcast clouds
327,Grootfontein,NA,-19.5667,18.1167,95.22,7,3,6.96,clear sky
328,Airai,TL,-8.9266,125.4092,61.23,92,95,1.9,overcast clouds
329,Cocorit,MX,27.5833,-109.9667,79.41,68,2,3.8,clear sky
330,Kaniama,CD,-7.5667,24.1833,76.3,60,83,6.13,light rain
331,Stromness,GB,58.965,-3.296,55.36,68,60,21.99,broken clouds
332,Kapit,MY,2.0167,112.9333,74.62,99,100,0.81,overcast clouds
